profile	target	owner	mode	source
windows	AppData/Local/nvim	chezmoi	junction	mutable/nvim
windows	.config/cava	chezmoi	junction	mutable/cava
windows	AppData/Roaming/yazi/config	chezmoi	native-link	chezmoi/dot_config/yazi
windows	AppData/Roaming/Zed	chezmoi	native-link	mutable/shared/zed
windows	MyDocuments/PowerShell	chezmoi	native-link	chezmoi/Documents/PowerShell
windows	komorebi.json	chezmoi	copy	chezmoi/komorebi.json
windows	komorebi.bar.json	chezmoi	copy	chezmoi/komorebi.bar.json
windows	applications.json	chezmoi	copy	chezmoi/applications.json
windows	.config/komorebi	chezmoi	copy	chezmoi/dot_config/komorebi
windows	.config/whkdrc	chezmoi	copy	chezmoi/dot_config/whkdrc
nixos	.config/nvim	nix	nixvim	nix-configs/home/modules/editors/nixvim
wsl	.config/nvim	unmanaged	none	-
wsl	/etc/wsl.conf	nix	generated	nix-configs/hosts/wsl/default.nix
windows	.config/starship.toml	chezmoi	copy	chezmoi/dot_config/starship.toml
nixos	.config/starship.toml	chezmoi	copy	chezmoi/dot_config/starship.toml
wsl	.config/starship.toml	chezmoi	copy	chezmoi/dot_config/starship.toml
windows	.config/fastfetch	chezmoi	copy	chezmoi/dot_config/fastfetch
nixos	.config/fastfetch	chezmoi	copy	chezmoi/dot_config/fastfetch
wsl	.config/fastfetch	chezmoi	copy	chezmoi/dot_config/fastfetch
windows	.config/lazygit	chezmoi	link	mutable/shared/lazygit
nixos	.config/lazygit	chezmoi	link	mutable/shared/lazygit
wsl	.config/lazygit	chezmoi	link	mutable/shared/lazygit
windows	.config/yazi	chezmoi	copy	chezmoi/dot_config/yazi
nixos	.config/yazi	chezmoi	copy	chezmoi/dot_config/yazi
wsl	.config/yazi	chezmoi	copy	chezmoi/dot_config/yazi
windows	.config/wezterm	chezmoi	copy	chezmoi/dot_config/wezterm
nixos	.config/wezterm	chezmoi	copy	chezmoi/dot_config/wezterm
wsl	.config/wezterm	unmanaged	none	-
nixos	.config/niri	nix	generated	nix-configs/home/modules/desktop/niri.nix
nixos	.config/swaync	nix	generated	nix-configs/home/modules/desktop/swaync.nix
nixos	.config/waybar	nix	generated	nix-configs/home/modules/desktop/waybar.nix
windows	Documents/PowerShell	chezmoi	copy	chezmoi/Documents/PowerShell
windows	.config/zed	chezmoi	link	mutable/shared/zed
nixos	.config/zed	chezmoi	link	mutable/shared/zed
nixos	.config/fcitx5/config	nix	link	mutable/nixos/fcitx5/config
nixos	.config/zsh/rc	nix	store	nix-configs/home/modules/shell/zsh/files/rc
windows	.config/vim	chezmoi	copy	chezmoi/dot_config/vim
nixos	.config/vim	chezmoi	copy	chezmoi/dot_config/vim
wsl	.config/vim	chezmoi	copy	chezmoi/dot_config/vim
windows	.claude/CLAUDE.md	chezmoi	copy	chezmoi/private_dot_claude/CLAUDE.md
nixos	.claude/CLAUDE.md	chezmoi	copy	chezmoi/private_dot_claude/CLAUDE.md
wsl	.claude/CLAUDE.md	chezmoi	copy	chezmoi/private_dot_claude/CLAUDE.md
windows	.claude/settings.json	chezmoi	template	chezmoi/private_dot_claude/settings.json.tmpl
nixos	.claude/settings.json	chezmoi	template	chezmoi/private_dot_claude/settings.json.tmpl
wsl	.claude/settings.json	chezmoi	template	chezmoi/private_dot_claude/settings.json.tmpl
windows	.claude/ccwin-hook.ps1	chezmoi	copy	chezmoi/private_dot_claude/ccwin-hook.ps1
nixos	.claude/claude-notify-hook.sh	chezmoi	copy	chezmoi/private_dot_claude/executable_claude-notify-hook.sh
windows	.codex/AGENTS.md	chezmoi	copy	chezmoi/private_dot_codex/AGENTS.md
nixos	.codex/AGENTS.md	chezmoi	copy	chezmoi/private_dot_codex/AGENTS.md
wsl	.codex/AGENTS.md	chezmoi	copy	chezmoi/private_dot_codex/AGENTS.md
windows	.codex/config.toml	chezmoi	create	chezmoi/private_dot_codex/create_config.toml.tmpl
nixos	.codex/config.toml	nix	seed	chezmoi/.chezmoitemplates/codex-config.toml
windows	.config/mise	chezmoi	copy	chezmoi/dot_config/mise
windows	.config/ccwin-notify	chezmoi	copy	chezmoi/dot_config/ccwin-notify
windows	.config/yasb	chezmoi	template	chezmoi/dot_config/yasb
windows	.gitconfig	chezmoi	link	mutable/shared/gitconfig
nixos	.gitconfig	chezmoi	link	mutable/shared/gitconfig
wsl	.gitconfig	chezmoi	link	mutable/shared/gitconfig
